login,total_mr,accepted_mr,rejected_mr,acceptance_rate,group
Robert-Henry-Campbell,165,156.0,9.0,94.55,Agent
zoahsceadwian,5,5.0,0.0,100.0,Agent
darrenoakey,5,5.0,0.0,100.0,Agent
alimuratov,4,4.0,0.0,100.0,Agent
Vim-Karene,89,50.0,39.0,56.18,Agent
starline,96,95.0,1.0,98.96,Agent
YanboQiao,11,11.0,0.0,100.0,Agent
davidyen1124,185,156.0,29.0,84.32,Agent
JasperSmitz,6,5.0,1.0,83.33,Agent
kuhdean,44,42.0,2.0,95.45,Agent
agent6,55,55.0,0.0,100.0,Agent
lanish19,7,7.0,0.0,100.0,Agent
dr-basalt,1,1.0,0.0,100.0,Agent
CarlosPiovesanJr,8,7.0,1.0,87.5,Agent
watchout,16,16.0,0.0,100.0,Agent
CodeNoLimits,20,20.0,0.0,100.0,Agent
Mystc-myst,56,52.0,4.0,92.86,Agent
hu3mann,20,20.0,0.0,100.0,Agent
cai0duque,6,6.0,0.0,100.0,Agent
Krrio,38,5.0,33.0,13.16,Agent
gorsing,27,23.0,4.0,85.19,Agent
syachi55,10,9.0,1.0,90.0,Agent
Kay001050,6,6.0,0.0,100.0,Agent
congroo21,1,1.0,0.0,100.0,Agent
KeeganBurkart,112,112.0,0.0,100.0,Agent
crchaves,16,15.0,1.0,93.75,Agent
matthesv,46,46.0,0.0,100.0,Agent
arazz90,2,2.0,0.0,100.0,Agent
Srideep,28,24.0,4.0,85.71,Agent
DrewCam,7,6.0,1.0,85.71,Agent
perschulte,7,7.0,0.0,100.0,Agent
viniciusmesti,7,7.0,0.0,100.0,Agent
gustavojavier7,69,68.0,1.0,98.55,Agent
vilosource,76,75.0,1.0,98.68,Agent
auditoryx,217,193.0,24.0,88.94,Agent
MaTriXy,5,5.0,0.0,100.0,Agent
jasonh0204,20,20.0,0.0,100.0,Agent
sevenecks,7,6.0,1.0,85.71,Agent
Alby-Shinoj7,13,13.0,0.0,100.0,Agent
im-marcosv,1,1.0,0.0,100.0,Agent
EggnogII,8,8.0,0.0,100.0,Agent
ronkuijpers,5,5.0,0.0,100.0,Agent
warioishere,113,98.0,15.0,86.73,Agent
stestagg,19,18.0,1.0,94.74,Agent
LauraBoemo,7,7.0,0.0,100.0,Agent
Hollings,1,1.0,0.0,100.0,Agent
philpereira,6,6.0,0.0,100.0,Agent
ethanserpolet,2,1.0,1.0,50.0,Agent
abrahamolverad,4,1.0,3.0,25.0,Agent
objval,5,5.0,0.0,100.0,Agent
kx2471,2,2.0,0.0,100.0,Agent
schoonercg,15,15.0,0.0,100.0,Agent
BumpyClock,23,18.0,5.0,78.26,Agent
lochieh19798,3,3.0,0.0,100.0,Agent
Dmitriyrus99,55,54.0,1.0,98.18,Agent
itlinuxfr,11,11.0,0.0,100.0,Agent
Prypien,97,97.0,0.0,100.0,Agent
arashlaghaei,4,4.0,0.0,100.0,Agent
jacekzzAv,2,2.0,0.0,100.0,Agent
TristanWolfram,3,3.0,0.0,100.0,Agent
manizm,8,7.0,1.0,87.5,Agent
cokice,9,6.0,3.0,66.67,Agent
bklosk,26,22.0,4.0,84.62,Agent
martinpazmino,74,73.0,1.0,98.65,Agent
dovudo,2,2.0,0.0,100.0,Agent
chavideh,6,6.0,0.0,100.0,Agent
darenprince,43,39.0,4.0,90.7,Agent
PiotrGNN,1,1.0,0.0,100.0,Agent
slaterlucas,9,9.0,0.0,100.0,Agent
mannandeep,14,13.0,1.0,92.86,Agent
StreoCalibration,24,23.0,1.0,95.83,Agent
epic-serendipity,30,30.0,0.0,100.0,Agent
whoisanku,20,10.0,10.0,50.0,Agent
Fikretand,31,31.0,0.0,100.0,Agent
goldarg,7,7.0,0.0,100.0,Agent
GooTec,23,23.0,0.0,100.0,Agent
NauziX,1,0.0,1.0,0.0,Agent
Dilan797,1,1.0,0.0,100.0,Agent
JinlianWang,5,5.0,0.0,100.0,Agent
abhi2013,10,10.0,0.0,100.0,Agent
rschkman20,25,25.0,0.0,100.0,Agent
matatiaho,26,25.0,1.0,96.15,Agent
RaymondSalim,3,1.0,2.0,33.33,Agent
0xtuytuy,5,5.0,0.0,100.0,Agent
Rarisma,31,27.0,4.0,87.1,Agent
rdwr-zvikaba,1,1.0,0.0,100.0,Agent
alexvinall,12,12.0,0.0,100.0,Agent
emaggini-1,4,4.0,0.0,100.0,Agent
Goro2030,12,11.0,1.0,91.67,Agent
BBerastegui,1,1.0,0.0,100.0,Agent
felixtrz,33,24.0,9.0,72.73,Agent
lnittman,17,17.0,0.0,100.0,Agent
bbceylan,15,15.0,0.0,100.0,Agent
jorik41,95,93.0,2.0,97.89,Agent
Livog,27,26.0,1.0,96.3,Agent
akiko-keyio,41,40.0,1.0,97.56,Agent
asolopovas,1,1.0,0.0,100.0,Agent
mpc-f-oshima,9,9.0,0.0,100.0,Agent
Nellagration,8,8.0,0.0,100.0,Agent
rolandschellhorn,6,6.0,0.0,100.0,Agent
Multiklife,1,1.0,0.0,100.0,Agent
Rinthae,4,4.0,0.0,100.0,Agent
dzyla,10,10.0,0.0,100.0,Agent
1celestial0,12,11.0,1.0,91.67,Agent
haramrit09k,5,4.0,1.0,80.0,Agent
kawahiro39,1,1.0,0.0,100.0,Agent
philippfrenzel,16,14.0,2.0,87.5,Agent
theadminautomated,99,99.0,0.0,100.0,Agent
jafioti,12,8.0,4.0,66.67,Agent
r0gig0r,11,11.0,0.0,100.0,Agent
Teapot-protocol,13,12.0,1.0,92.31,Agent
Cyanmin,53,49.0,4.0,92.45,Agent
jadhavakashofficial,4,4.0,0.0,100.0,Agent
aimuz,8,8.0,0.0,100.0,Agent
aperim-agent,75,75.0,0.0,100.0,Agent
mattakamatsu,3,1.0,2.0,33.33,Agent
josephgitau,8,8.0,0.0,100.0,Agent
eldrgeek,38,36.0,2.0,94.74,Agent
GGotusso,8,8.0,0.0,100.0,Agent
rudra150602,1,1.0,0.0,100.0,Agent
kodexArg,14,14.0,0.0,100.0,Agent
akerikwadidi12221,8,8.0,0.0,100.0,Agent
reisematson2,27,27.0,0.0,100.0,Agent
diegoaranab,33,33.0,0.0,100.0,Agent
jfahler,11,8.0,3.0,72.73,Agent
arximus88,1,1.0,0.0,100.0,Agent
origama,22,19.0,3.0,86.36,Agent
6arshid,46,46.0,0.0,100.0,Agent
GustavoHennig,11,11.0,0.0,100.0,Agent
hemati,26,21.0,5.0,80.77,Agent
fblomstedt41,6,6.0,0.0,100.0,Agent
DrunkenRaccoon,4,4.0,0.0,100.0,Agent
Jessilee911,6,5.0,1.0,83.33,Agent
TomKoska,3,3.0,0.0,100.0,Agent
NovaX-Luanti,4,4.0,0.0,100.0,Agent
gnanendraprasad,8,7.0,1.0,87.5,Agent
ilkerbbb,1,1.0,0.0,100.0,Agent
PeterGracar,5,4.0,1.0,80.0,Agent
Sho-Matsuoka,23,23.0,0.0,100.0,Agent
rclavey,10,10.0,0.0,100.0,Agent
trevorswanson,8,8.0,0.0,100.0,Agent
DiamondGotCat,3,3.0,0.0,100.0,Agent
koyama0318,3,1.0,2.0,33.33,Agent
trazhub,1,1.0,0.0,100.0,Agent
maoxx241,7,5.0,2.0,71.43,Agent
johannes-schmid,1,1.0,0.0,100.0,Agent
AntikGhalt,5,4.0,1.0,80.0,Agent
delitamakanda,11,11.0,0.0,100.0,Agent
hank716,4,4.0,0.0,100.0,Agent
rahul3399,2,2.0,0.0,100.0,Agent
onlybets,4,3.0,1.0,75.0,Agent
hubert3158,3,3.0,0.0,100.0,Agent
shebanow,2,2.0,0.0,100.0,Agent
rpraharaj,4,4.0,0.0,100.0,Agent
datablazar,7,6.0,1.0,85.71,Agent
hoony3000,1,0.0,1.0,0.0,Agent
pbu80,4,4.0,0.0,100.0,Agent
duvallemusic,16,16.0,0.0,100.0,Agent
Shar1q-codes,7,7.0,0.0,100.0,Agent
napetrov,4,4.0,0.0,100.0,Agent
olaya09,8,8.0,0.0,100.0,Agent
kurosaru1984,29,29.0,0.0,100.0,Agent
DrMitchFlori,94,88.0,6.0,93.62,Agent
raulest50,34,32.0,2.0,94.12,Agent
krishna-gitthub,2,2.0,0.0,100.0,Agent
SEOHEEMIN1,10,10.0,0.0,100.0,Agent
GB81160,21,18.0,3.0,85.71,Agent
joeluskracing,81,81.0,0.0,100.0,Agent
oxidos,1,1.0,0.0,100.0,Agent
richardpauldev,17,17.0,0.0,100.0,Agent
JoYeongbeen,1,1.0,0.0,100.0,Agent
gely25,12,12.0,0.0,100.0,Agent
phuleratribhuwan,13,13.0,0.0,100.0,Agent
rikenshah,9,9.0,0.0,100.0,Agent
leonardozaggia,6,6.0,0.0,100.0,Agent
andrewmcdan,10,9.0,1.0,90.0,Agent
mabbasi6,4,4.0,0.0,100.0,Agent
natbabo1,6,6.0,0.0,100.0,Agent
InnerWerks,26,26.0,0.0,100.0,Agent
zakandrewking,5,1.0,4.0,20.0,Agent
sleepy-zuzki,3,2.0,1.0,66.67,Agent
Telahair,1,0.0,1.0,0.0,Agent
SheruShafiq,18,13.0,5.0,72.22,Agent
argon-analytik,43,41.0,2.0,95.35,Agent
arthuraleite,13,13.0,0.0,100.0,Agent
checksandbalances,5,4.0,1.0,80.0,Agent
JuliusGruber,17,17.0,0.0,100.0,Agent
Deepchavda007,4,4.0,0.0,100.0,Agent
rachgmartin,37,37.0,0.0,100.0,Agent
FilipreyAndrei,2,2.0,0.0,100.0,Agent
Kicer86,24,21.0,3.0,87.5,Agent
sajal1405,23,23.0,0.0,100.0,Agent
pdfractal,1,1.0,0.0,100.0,Agent
DolfynBrands,4,4.0,0.0,100.0,Agent
kuband,16,11.0,5.0,68.75,Agent
X3RVUS,9,9.0,0.0,100.0,Agent
adrienZ,8,7.0,1.0,87.5,Agent
Ch4r0ne,1,1.0,0.0,100.0,Agent
jttd3v,31,31.0,0.0,100.0,Agent
sj1035113,3,2.0,1.0,66.67,Agent
uakbr,4,4.0,0.0,100.0,Agent
siberianbearofficial,3,3.0,0.0,100.0,Agent
azs06,1,1.0,0.0,100.0,Agent
nikolaiborbe,9,8.0,1.0,88.89,Agent
santi-esquerre,4,3.0,1.0,75.0,Agent
UN7X,2,2.0,0.0,100.0,Agent
MasloNick,2,2.0,0.0,100.0,Agent
H1ppalectry0n,3,3.0,0.0,100.0,Agent
Crinlorite,2,2.0,0.0,100.0,Agent
iamcarbonara,12,12.0,0.0,100.0,Agent
deepaksaipendyala,6,6.0,0.0,100.0,Agent
paulpv,4,4.0,0.0,100.0,Agent
treytorrez,1,0.0,1.0,0.0,Agent
otakaaaa,4,3.0,1.0,75.0,Agent
NandineMpe,10,10.0,0.0,100.0,Agent
wesen,3,1.0,2.0,33.33,Agent
MiFreBag,9,9.0,0.0,100.0,Agent
marcossilvestrini,2,2.0,0.0,100.0,Agent
JDemler,19,19.0,0.0,100.0,Agent
dunseen,13,13.0,0.0,100.0,Agent
thebigcafeteria,4,4.0,0.0,100.0,Agent
Julian-Elliott,2,2.0,0.0,100.0,Agent
chale1342,1,0.0,1.0,0.0,Agent
Pablot07944,2,2.0,0.0,100.0,Agent
adcerny,14,11.0,3.0,78.57,Agent
iabdukhoshimov,2,2.0,0.0,100.0,Agent
kenta-ja8,16,13.0,3.0,81.25,Agent
dimensionscape,3,1.0,2.0,33.33,Agent
HACKB3ARD,12,11.0,1.0,91.67,Agent
yuyuyu6174,14,13.0,1.0,92.86,Agent
nicholasgraycryptcore,34,34.0,0.0,100.0,Agent
eternoinvisible,1,1.0,0.0,100.0,Agent
AlienScribe,26,26.0,0.0,100.0,Agent
dezash123,4,2.0,2.0,50.0,Agent
GuillaumeBld,10,10.0,0.0,100.0,Agent
DobbiKov,5,5.0,0.0,100.0,Agent
kashi4kun,3,3.0,0.0,100.0,Agent
yanagisawa-design,1,1.0,0.0,100.0,Agent
heyitsnoah,1,1.0,0.0,100.0,Agent
bugestbeast,4,4.0,0.0,100.0,Agent
MadInventorQDB,2,2.0,0.0,100.0,Agent
FragazBR,9,8.0,1.0,88.89,Agent
Wendelin07,3,3.0,0.0,100.0,Agent
lukassso,1,1.0,0.0,100.0,Agent
GepetoinTraining,15,15.0,0.0,100.0,Agent
NotosWind,1,1.0,0.0,100.0,Agent
MarcChen,2,0.0,2.0,0.0,Agent
Kassemhichri,3,3.0,0.0,100.0,Agent
kanchankapila,11,11.0,0.0,100.0,Agent
conformist-mw,8,8.0,0.0,100.0,Agent
nmaguiar,10,6.0,4.0,60.0,Agent
olaviinha,19,18.0,1.0,94.74,Agent
kapalive,1,0.0,1.0,0.0,Agent
Lounicilyes,1,1.0,0.0,100.0,Agent
skilesare,1,1.0,0.0,100.0,Agent
xhw1,5,5.0,0.0,100.0,Agent
vsem-azamat,7,7.0,0.0,100.0,Agent
lovcavil,1,1.0,0.0,100.0,Agent
Carl-xxxl,1,1.0,0.0,100.0,Agent
Ifabri31,3,2.0,1.0,66.67,Agent
Yannick-CoursiersMtp,13,13.0,0.0,100.0,Agent
NeelAcuriq02,3,3.0,0.0,100.0,Agent
laithaustin,4,4.0,0.0,100.0,Agent
ysw1206,6,3.0,3.0,50.0,Agent
johnrocha,5,5.0,0.0,100.0,Agent
ChiehHsinLiu,1,1.0,0.0,100.0,Agent
RakeshRewar,1,1.0,0.0,100.0,Agent
subham500071430,1,1.0,0.0,100.0,Agent
billlzzz10,1,1.0,0.0,100.0,Agent
fruch,1,1.0,0.0,100.0,Agent
ithyme7,3,3.0,0.0,100.0,Agent
dquarks,5,5.0,0.0,100.0,Agent
6039213,3,3.0,0.0,100.0,Agent
EliteIE,10,10.0,0.0,100.0,Agent
Jokekill,10,10.0,0.0,100.0,Agent
clemdc40,3,3.0,0.0,100.0,Agent
KittenCN,1,1.0,0.0,100.0,Agent
asmaamohamed0264,1,1.0,0.0,100.0,Agent
HappymanOkajima,2,2.0,0.0,100.0,Agent
ChrisJP-Embedded,13,12.0,1.0,92.31,Agent
JayShortway,1,1.0,0.0,100.0,Agent
timedilationv2,6,6.0,0.0,100.0,Agent
uglyrobot,2,2.0,0.0,100.0,Agent
KempAyenda,1,1.0,0.0,100.0,Agent
iainhouston,1,1.0,0.0,100.0,Agent
markmesquita,2,2.0,0.0,100.0,Agent
elmagico70,4,4.0,0.0,100.0,Agent
bakerpdgit,12,10.0,2.0,83.33,Agent
EkinL,3,2.0,1.0,66.67,Agent
ArukalaHimateja,8,8.0,0.0,100.0,Agent
HXuanheng,1,0.0,1.0,0.0,Agent
Galih773,1,1.0,0.0,100.0,Agent
taiiach,9,9.0,0.0,100.0,Agent
diniodinev,12,12.0,0.0,100.0,Agent
suaniafluence,17,17.0,0.0,100.0,Agent
GearUnclear,1,1.0,0.0,100.0,Agent
usrbinrebel,1,1.0,0.0,100.0,Agent
thayronarrais,6,6.0,0.0,100.0,Agent
dlomojo,1,0.0,1.0,0.0,Agent
JhonOrtiz0406,6,6.0,0.0,100.0,Agent
Antho40460,7,7.0,0.0,100.0,Agent
polmat77,4,4.0,0.0,100.0,Agent
dankmrpanda,1,0.0,1.0,0.0,Agent
ckdk9530,15,15.0,0.0,100.0,Agent
hangerine,2,2.0,0.0,100.0,Agent
yangsi7,2,1.0,1.0,50.0,Agent
BobSilverHat,2,2.0,0.0,100.0,Agent
viik2k,14,12.0,2.0,85.71,Agent
tom-lubenow,33,29.0,4.0,87.88,Agent
RavenKing144,4,4.0,0.0,100.0,Agent
reiyw,3,3.0,0.0,100.0,Agent
antontranelis,22,16.0,6.0,72.73,Agent
kyooo8,4,4.0,0.0,100.0,Agent
ktama,9,8.0,1.0,88.89,Agent
twixesss,3,3.0,0.0,100.0,Agent
mustafa1337,3,3.0,0.0,100.0,Agent
smitopher,6,6.0,0.0,100.0,Agent
abhishekraok,1,0.0,1.0,0.0,Agent
IntellyCode,1,0.0,1.0,0.0,Agent
702studio,5,5.0,0.0,100.0,Agent
DiasCaio,5,5.0,0.0,100.0,Agent
KMilhan,6,4.0,2.0,66.67,Agent
GuilhermeViana-22,13,13.0,0.0,100.0,Agent
jphermans,5,5.0,0.0,100.0,Agent
Grser,6,3.0,3.0,50.0,Agent
anarkaike,2,2.0,0.0,100.0,Agent
bwalowitz,3,3.0,0.0,100.0,Agent
joagzb,2,2.0,0.0,100.0,Agent
github-charles-murphy,1,1.0,0.0,100.0,Agent
yceffort,2,1.0,1.0,50.0,Agent
AltamimiYasser,2,2.0,0.0,100.0,Agent
abhiii29,4,4.0,0.0,100.0,Agent
dmnblz,15,14.0,1.0,93.33,Agent
ash-meta-verse,4,0.0,4.0,0.0,Agent
hsantos92,2,2.0,0.0,100.0,Agent
Noty-chan,16,16.0,0.0,100.0,Agent
CrabopuluS,3,3.0,0.0,100.0,Agent
EmanuelHennig,4,4.0,0.0,100.0,Agent
427games,1,1.0,0.0,100.0,Agent
AlinaKurjan,1,1.0,0.0,100.0,Agent
SimplyTogepy,3,3.0,0.0,100.0,Agent
hong0405,2,2.0,0.0,100.0,Agent
REVANTH-2-0-0-4,4,4.0,0.0,100.0,Agent
Spenny24,1,1.0,0.0,100.0,Agent
Rarity-tech,1,1.0,0.0,100.0,Agent
TheNormanCoder,12,12.0,0.0,100.0,Agent
JuanCarlosLopezHortelano,8,8.0,0.0,100.0,Agent
Cai-z-us,3,3.0,0.0,100.0,Agent
clipo,3,3.0,0.0,100.0,Agent
engrahsaninam,8,8.0,0.0,100.0,Agent
lpduyplus,1,1.0,0.0,100.0,Agent
walidjlidi,5,5.0,0.0,100.0,Agent
jessecontreras,5,4.0,1.0,80.0,Agent
MARIOJOSECHAVEZFERREYRA,2,1.0,1.0,50.0,Agent
PeterReisNyman,12,12.0,0.0,100.0,Agent
juliaasencio,4,4.0,0.0,100.0,Agent
MartijnvCitteren,1,1.0,0.0,100.0,Agent
7zk1014,11,11.0,0.0,100.0,Agent
BaiterYamato,3,3.0,0.0,100.0,Agent
Spy12150,2,1.0,1.0,50.0,Agent
ohait,5,5.0,0.0,100.0,Agent
ergishasani,12,12.0,0.0,100.0,Agent
qaxi,1,1.0,0.0,100.0,Agent
mursisoy,4,3.0,1.0,75.0,Agent
ParkSeongGyeol,3,3.0,0.0,100.0,Agent
daren-thomas,9,8.0,1.0,88.89,Agent
uebelack,6,6.0,0.0,100.0,Agent
MichaelEight,5,5.0,0.0,100.0,Agent
Gnayoah,1,0.0,1.0,0.0,Agent
Paralogosai,3,3.0,0.0,100.0,Agent
babubhaskaran,2,2.0,0.0,100.0,Agent
hwein,19,19.0,0.0,100.0,Agent
Atmaspheree,1,1.0,0.0,100.0,Agent
ricardozuloaga1,2,2.0,0.0,100.0,Agent
SeanDBerg,2,2.0,0.0,100.0,Agent
lglandon1,1,1.0,0.0,100.0,Agent
settylokesh,2,2.0,0.0,100.0,Agent
DeanKJones,7,7.0,0.0,100.0,Agent
cmll21,1,1.0,0.0,100.0,Agent
abdullrahmanesmael07,2,2.0,0.0,100.0,Agent
samuelstroschein,3,3.0,0.0,100.0,Agent
dchayes27,7,7.0,0.0,100.0,Agent
ahmedhqadri,1,0.0,1.0,0.0,Agent
marcusheier,1,1.0,0.0,100.0,Agent
GauravKJha1212,9,9.0,0.0,100.0,Agent
arcmoonstudios,3,3.0,0.0,100.0,Agent
Luehrsen,6,4.0,2.0,66.67,Agent
agerimex,5,5.0,0.0,100.0,Agent
gnudeep,3,3.0,0.0,100.0,Agent
yukurguz,1,1.0,0.0,100.0,Agent
dchinyanin,2,2.0,0.0,100.0,Agent
mahdi999-h,1,1.0,0.0,100.0,Agent
HumendraSahu,27,27.0,0.0,100.0,Agent
leecoursey,9,9.0,0.0,100.0,Agent
netsi1964,5,5.0,0.0,100.0,Agent
tom-takeru,5,2.0,3.0,40.0,Agent
aoaochan,1,1.0,0.0,100.0,Agent
rafidsarker,1,1.0,0.0,100.0,Agent
Raavgo,2,2.0,0.0,100.0,Agent
Cesarin152,6,6.0,0.0,100.0,Agent
jaredjxyz,4,4.0,0.0,100.0,Agent
zolem,8,8.0,0.0,100.0,Agent
BrunoDesenv,1,1.0,0.0,100.0,Agent
zenatron,1,1.0,0.0,100.0,Agent
avegaraju,4,3.0,1.0,75.0,Agent
cuba6112,2,2.0,0.0,100.0,Agent
kualta,5,5.0,0.0,100.0,Agent
wangxiaobo775,1,1.0,0.0,100.0,Agent
lsuarez112,4,2.0,2.0,50.0,Agent
tarundewan1974,2,2.0,0.0,100.0,Agent
szapata,1,0.0,1.0,0.0,Agent
snwful,2,2.0,0.0,100.0,Agent
Max-Burleigh,8,7.0,1.0,87.5,Agent
apku04,4,3.0,1.0,75.0,Agent
nalanshi,1,1.0,0.0,100.0,Agent
englebert,1,0.0,1.0,0.0,Agent
iamluanem,1,1.0,0.0,100.0,Agent
DogManTC,1,1.0,0.0,100.0,Agent
connorgunter,1,1.0,0.0,100.0,Agent
yi-ge,1,1.0,0.0,100.0,Agent
c0def0rc0ffee,1,1.0,0.0,100.0,Agent
carol230,1,1.0,0.0,100.0,Agent
vasudevgupta31,1,0.0,1.0,0.0,Agent
JOHNNYMACONNY,4,4.0,0.0,100.0,Agent
irser-cyber,2,1.0,1.0,50.0,Agent
arthurokonkwo,1,1.0,0.0,100.0,Agent
danweil24,1,1.0,0.0,100.0,Agent
bitwikiorg,5,5.0,0.0,100.0,Agent
AvvePavve,7,7.0,0.0,100.0,Agent
Erminator31,12,9.0,3.0,75.0,Agent
brenorodriguesdev,1,1.0,0.0,100.0,Agent
xenon007,5,4.0,1.0,80.0,Agent
Cefress001,2,2.0,0.0,100.0,Agent
0xshugo,1,1.0,0.0,100.0,Agent
MMAT15,8,8.0,0.0,100.0,Agent
pabloriascos,3,3.0,0.0,100.0,Agent
albrmar,1,1.0,0.0,100.0,Agent
minsoodal,1,0.0,1.0,0.0,Agent
Iamkjstyle,1,1.0,0.0,100.0,Agent
marianaavelino-rtl2,3,3.0,0.0,100.0,Agent
fernandomoacirxx,1,1.0,0.0,100.0,Agent
mtndewv,2,2.0,0.0,100.0,Agent
ivandres73,3,3.0,0.0,100.0,Agent
TsungTang,7,7.0,0.0,100.0,Agent
aleksandr-miheichev,3,3.0,0.0,100.0,Agent
MustafaKorukmez,7,7.0,0.0,100.0,Agent
erikdubbelboer,3,3.0,0.0,100.0,Agent
axiomone,1,1.0,0.0,100.0,Agent
l-0-l,1,1.0,0.0,100.0,Agent
gurplelite,5,5.0,0.0,100.0,Agent
mynojke,1,1.0,0.0,100.0,Agent
ItzMeErnesto,1,1.0,0.0,100.0,Agent
yuksw1,2,2.0,0.0,100.0,Agent
chineis777,1,1.0,0.0,100.0,Agent
AbhineetSaha,3,3.0,0.0,100.0,Agent
PalladiniGITH,4,3.0,1.0,75.0,Agent
script-jpg,4,4.0,0.0,100.0,Agent
jonathanruiz0,1,1.0,0.0,100.0,Agent
barryleybovich,1,0.0,1.0,0.0,Agent
markal84,2,2.0,0.0,100.0,Agent
pippobaudo912,1,1.0,0.0,100.0,Agent
FlamesIsCool,4,4.0,0.0,100.0,Agent
camachojua,5,5.0,0.0,100.0,Agent
Ares-Sideris,5,5.0,0.0,100.0,Agent
kaanchan,1,1.0,0.0,100.0,Agent
AndreiPashkin,1,0.0,1.0,0.0,Agent
samueltache1,7,7.0,0.0,100.0,Agent
elibowlby,1,0.0,1.0,0.0,Agent
PaimMauricio-CC,6,6.0,0.0,100.0,Agent
PranavCR01,1,1.0,0.0,100.0,Agent
Tyler-McIntyre,2,2.0,0.0,100.0,Agent
n-jagadeep,1,1.0,0.0,100.0,Agent
MarioFronza,4,1.0,3.0,25.0,Agent
eazyy332,2,2.0,0.0,100.0,Agent
Felipe-Ma,1,1.0,0.0,100.0,Agent
draychev,2,2.0,0.0,100.0,Agent
EdineiMZ,5,4.0,1.0,80.0,Agent
tanoret,4,4.0,0.0,100.0,Agent
souma2half1,3,3.0,0.0,100.0,Agent
uni0ue,1,1.0,0.0,100.0,Agent
bdorlus,2,2.0,0.0,100.0,Agent
JeremiasKoch,2,1.0,1.0,50.0,Agent
taku335,1,1.0,0.0,100.0,Agent
elmerbulthuis,2,1.0,1.0,50.0,Agent
evazemtsova,3,3.0,0.0,100.0,Agent
GarethHHHH,2,2.0,0.0,100.0,Agent
Blackacre86,2,2.0,0.0,100.0,Agent
optiflow,1,1.0,0.0,100.0,Agent
